verification_status,business_name,niche,city,zone,original_phone,normalized_phone,wa_check_url,google_maps_url,phone_source,source_confidence,notes,verified_at
pending_manual_check,Clinica Dental Muelitas,Dental,Ciudad de México,Bosques,5572342564,525572342564,https://wa.me/525572342564,https://www.google.com/maps/search/?api=1&query=Clinica%20Dental%20Muelitas%20Ciudad%20de%20M%C3%A9xico%20Bosques,OpenStreetMap public phone/contact:phone,medium,Validar manualmente que WhatsApp abra un chat real antes de generar envío.,
pending_manual_check,Clínica De Especialidades Dentales,Dental,Huixquilucan,Huixquilucan,5582841112,525582841112,https://wa.me/525582841112,https://www.google.com/maps/search/?api=1&query=Cl%C3%ADnica%20De%20Especialidades%20Dentales%20Huixquilucan%20Huixquilucan,OpenStreetMap public phone/contact:phone,medium,Validar manualmente que WhatsApp abra un chat real antes de generar envío.,
pending_manual_check,"Consultorio ""Estudio dental""",Dental,Huixquilucan,Huixquilucan,5529087101,525529087101,https://wa.me/525529087101,https://www.google.com/maps/search/?api=1&query=Consultorio%20%22Estudio%20dental%22%20Huixquilucan%20Huixquilucan,OpenStreetMap public phone/contact:phone,medium,Validar manualmente que WhatsApp abra un chat real antes de generar envío.,
pending_manual_check,Consultorio Dental Alfa Y Omega,Dental,Huixquilucan,Huixquilucan,5547863775,525547863775,https://wa.me/525547863775,https://www.google.com/maps/search/?api=1&query=Consultorio%20Dental%20Alfa%20Y%20Omega%20Huixquilucan%20Huixquilucan,OpenStreetMap public phone/contact:phone,medium,Validar manualmente que WhatsApp abra un chat real antes de generar envío.,
pending_manual_check,Consultorio Dental Cyty,Dental,Huixquilucan,Huixquilucan,5582840023,525582840023,https://wa.me/525582840023,https://www.google.com/maps/search/?api=1&query=Consultorio%20Dental%20Cyty%20Huixquilucan%20Huixquilucan,OpenStreetMap public phone/contact:phone,medium,Validar manualmente que WhatsApp abra un chat real antes de generar envío.,
pending_manual_check,Consultorio Dental Garden,Dental,Huixquilucan,Huixquilucan,5580990629,525580990629,https://wa.me/525580990629,https://www.google.com/maps/search/?api=1&query=Consultorio%20Dental%20Garden%20Huixquilucan%20Huixquilucan,OpenStreetMap public phone/contact:phone,medium,Validar manualmente que WhatsApp abra un chat real antes de generar envío.,
pending_manual_check,Consultorio Dental Integral,Dental,Huixquilucan,Huixquilucan,5522704039,525522704039,https://wa.me/525522704039,https://www.google.com/maps/search/?api=1&query=Consultorio%20Dental%20Integral%20Huixquilucan%20Huixquilucan,OpenStreetMap public phone/contact:phone,medium,Validar manualmente que WhatsApp abra un chat real antes de generar envío.,
pending_manual_check,Consultorio Dental Jacarandas,Dental,Huixquilucan,Huixquilucan,5539440639,525539440639,https://wa.me/525539440639,https://www.google.com/maps/search/?api=1&query=Consultorio%20Dental%20Jacarandas%20Huixquilucan%20Huixquilucan,OpenStreetMap public phone/contact:phone,medium,Validar manualmente que WhatsApp abra un chat real antes de generar envío.,
pending_manual_check,Consultorio Dental Kenco,Dental,Huixquilucan,Huixquilucan,5548072331,525548072331,https://wa.me/525548072331,https://www.google.com/maps/search/?api=1&query=Consultorio%20Dental%20Kenco%20Huixquilucan%20Huixquilucan,OpenStreetMap public phone/contact:phone,medium,Validar manualmente que WhatsApp abra un chat real antes de generar envío.,
pending_manual_check,Consultorio Dental Tu Sonrisa,Dental,Huixquilucan,Huixquilucan,5591030575,525591030575,https://wa.me/525591030575,https://www.google.com/maps/search/?api=1&query=Consultorio%20Dental%20Tu%20Sonrisa%20Huixquilucan%20Huixquilucan,OpenStreetMap public phone/contact:phone,medium,Validar manualmente que WhatsApp abra un chat real antes de generar envío.,
